City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Tchibanga,GA,2022-09-15 04:58:37,-2.85,11.0333,70.11,92,82,2.35
259,Am Timan,TD,2022-09-15 04:58:37,11.0297,20.2827,73.96,91,97,4.99
260,Raudeberg,NO,2022-09-15 04:58:38,61.9875,5.1352,48.87,1,100,27.04
261,Baoqing,CN,2022-09-15 04:58:38,46.3317,132.2111,66.09,60,100,0.49
262,Gat,IL,2022-09-15 04:54:14,31.61,34.7642,75.88,100,0,3.13
263,Aklavik,CA,2022-09-15 04:58:39,68.2191,-135.0107,41.59,84,100,3.56
264,Noumea,NC,2022-09-15 04:58:39,-22.2763,166.4572,73.38,70,69,8.19
265,Kathmandu,NP,2022-09-15 04:45:05,27.7167,85.3167,73.62,83,75,4.61
266,Andrews,US,2022-09-15 04:56:53,32.3187,-102.5457,72.28,81,0,4.61
267,Half Moon Bay,US,2022-09-15 04:58:40,37.4636,-122.4286,65.48,88,100,17.27
268,Bend,US,2022-09-15 04:57:28,44.0582,-121.3153,58.82,75,95,1.99
269,Cayenne,GF,2022-09-15 04:58:40,4.9333,-52.3333,77.04,94,20,0.0
270,Sinnamary,GF,2022-09-15 04:58:41,5.3833,-52.95,78.46,87,7,9.53
271,Richards Bay,ZA,2022-09-15 04:58:41,-28.783,32.0377,64.96,74,0,13.56
272,Vredendal,ZA,2022-09-15 04:58:42,-31.6683,18.5012,54.27,72,11,1.81
273,Kiunga,PG,2022-09-15 04:58:42,-6.1219,141.2906,90.3,55,69,2.68
274,Conde,BR,2022-09-15 04:59:42,-7.2597,-34.9075,76.46,83,0,6.91
275,Ulagan,RU,2022-09-15 04:59:43,50.6321,87.9563,40.64,98,100,3.91
276,Lagoa,PT,2022-09-15 04:59:43,39.05,-27.9833,74.07,78,100,27.78
277,Niksic,ME,2022-09-15 04:58:22,42.7731,18.9445,49.86,64,99,2.66
278,Tual,ID,2022-09-15 04:59:44,-5.6667,132.75,81.73,77,17,12.86
279,Torbay,CA,2022-09-15 04:59:00,47.6666,-52.7314,55.58,94,40,3.44
280,Villarrica,PY,2022-09-15 04:59:44,-25.75,-56.4333,54.88,84,48,5.91
281,Sainte-Marie,RE,2022-09-15 04:59:45,-20.8968,55.5496,75.36,65,28,14.97
282,Sur,OM,2022-09-15 04:59:45,22.5667,59.5289,92.73,45,16,8.63
283,Road Town,VG,2022-09-15 04:59:46,18.4167,-64.6167,83.32,74,21,18.45
284,Henties Bay,NA,2022-09-15 04:59:46,-22.116,14.2845,55.8,93,88,4.36
285,Ambatolampy,MG,2022-09-15 04:59:47,-19.3833,47.4167,51.22,57,52,7.16
286,Garowe,SO,2022-09-15 04:59:47,8.4054,48.4845,79.5,54,95,26.8
287,Santa Cruz,BO,2022-09-15 04:59:47,-17.8,-63.1667,58.46,88,100,5.75
288,Erzurum,TR,2022-09-15 04:59:48,40.0,41.5,42.48,59,1,0.58
289,Ahipara,NZ,2022-09-15 04:59:48,-35.1667,173.1667,55.47,56,7,7.09
290,Churapcha,RU,2022-09-15 04:59:48,62.0025,132.4325,46.83,67,94,11.43
291,Aguimes,ES,2022-09-15 04:59:49,27.9054,-15.4461,70.43,78,20,11.5
